/home/apiasecz/.conda/envs/cent7/2024.02-py311/cog_fl_llm_env/lib/python3.12/site-packages/torch/nn/modules/conv.py:456: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at /opt/conda/conda-bld/pytorch_1712608847532/work/aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  return F.conv2d(input, weight, bias, self.stride,
seed: 3
policy_id: 1
setting_id: 0
pi_bar: 0.1
drift_rate: 0.01
V: 2
Round 0: Accuracy = 0.8162, Decision = False
Round 1: Accuracy = 0.8035, Decision = False
Round 2: Accuracy = 0.7957, Decision = False
Round 3: Accuracy = 0.7917, Decision = False
Round 4: Accuracy = 0.7877, Decision = False
Round 5: Accuracy = 0.7838, Decision = False
Round 6: Accuracy = 0.7799, Decision = False
Round 7: Accuracy = 0.7734, Decision = False
Epoch 1/10, Loss: 1.0653
Epoch 2/10, Loss: 0.6975
Epoch 3/10, Loss: 0.6116
Epoch 4/10, Loss: 0.5693
Epoch 5/10, Loss: 0.5624
Epoch 6/10, Loss: 0.5361
Epoch 7/10, Loss: 0.4890
Epoch 8/10, Loss: 0.5112
Epoch 9/10, Loss: 0.5039
Epoch 10/10, Loss: 0.4782
Round 8: Accuracy = 0.7653, Decision = True
Round 9: Accuracy = 0.7237, Decision = False
Epoch 1/10, Loss: 0.4720
Epoch 2/10, Loss: 0.4296
Epoch 3/10, Loss: 0.4535
Epoch 4/10, Loss: 0.4832
Epoch 5/10, Loss: 0.4499
Epoch 6/10, Loss: 0.4146
Epoch 7/10, Loss: 0.4355
Epoch 8/10, Loss: 0.4383
Epoch 9/10, Loss: 0.4357
Epoch 10/10, Loss: 0.3988
Round 10: Accuracy = 0.7246, Decision = True
Round 11: Accuracy = 0.6633, Decision = False
Round 12: Accuracy = 0.6614, Decision = False
Round 13: Accuracy = 0.6583, Decision = False
Round 14: Accuracy = 0.6555, Decision = False
Round 15: Accuracy = 0.6510, Decision = False
Epoch 1/10, Loss: 0.5113
Epoch 2/10, Loss: 0.4696
Epoch 3/10, Loss: 0.5202
Epoch 4/10, Loss: 0.4813
Epoch 5/10, Loss: 0.4395
Epoch 6/10, Loss: 0.4407
Epoch 7/10, Loss: 0.4254
Epoch 8/10, Loss: 0.3925
Epoch 9/10, Loss: 0.3988
Epoch 10/10, Loss: 0.4316
Round 16: Accuracy = 0.6473, Decision = True
Round 17: Accuracy = 0.7119, Decision = False
Round 18: Accuracy = 0.7077, Decision = False
Round 19: Accuracy = 0.7076, Decision = False
Round 20: Accuracy = 0.7048, Decision = False
Round 21: Accuracy = 0.7017, Decision = False
Round 22: Accuracy = 0.7045, Decision = False
Round 23: Accuracy = 0.7045, Decision = False
Round 24: Accuracy = 0.7043, Decision = False
Round 25: Accuracy = 0.7041, Decision = False
Round 26: Accuracy = 0.5273, Decision = False
Round 27: Accuracy = 0.6523, Decision = False
Round 28: Accuracy = 0.7020, Decision = False
Round 29: Accuracy = 0.6754, Decision = False
Round 30: Accuracy = 0.6773, Decision = False
Round 31: Accuracy = 0.6777, Decision = False
Round 32: Accuracy = 0.6590, Decision = False
Round 33: Accuracy = 0.6634, Decision = False
Round 34: Accuracy = 0.6655, Decision = False
Epoch 1/10, Loss: 0.6648
Epoch 2/10, Loss: 0.6592
Epoch 3/10, Loss: 0.6589
Epoch 4/10, Loss: 0.7597
Epoch 5/10, Loss: 0.7564
Epoch 6/10, Loss: 0.6784
Epoch 7/10, Loss: 0.6116
Epoch 8/10, Loss: 0.5888
Epoch 9/10, Loss: 0.5503
Epoch 10/10, Loss: 0.5445
Round 35: Accuracy = 0.6602, Decision = True
Round 36: Accuracy = 0.5773, Decision = False
Round 37: Accuracy = 0.5828, Decision = False
Round 38: Accuracy = 0.5815, Decision = False
Round 39: Accuracy = 0.5846, Decision = False
Round 40: Accuracy = 0.5798, Decision = False
Round 41: Accuracy = 0.5745, Decision = False
Round 42: Accuracy = 0.5736, Decision = False
Round 43: Accuracy = 0.5684, Decision = False
Round 44: Accuracy = 0.5638, Decision = False
Round 45: Accuracy = 0.5616, Decision = False
Round 46: Accuracy = 0.5613, Decision = False
Round 47: Accuracy = 0.5590, Decision = False
