/home/apiasecz/.conda/envs/cent7/2024.02-py311/cog_fl_llm_env/lib/python3.12/site-packages/torch/nn/modules/conv.py:456: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at /opt/conda/conda-bld/pytorch_1712608847532/work/aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  return F.conv2d(input, weight, bias, self.stride,
seed: 0
policy_id: 1
setting_id: 6
pi_bar: 0.1
drift_rate: 0.01
V: 5
Round 0: Accuracy = 0.8240, Decision = False
Round 1: Accuracy = 0.8116, Decision = False
Round 2: Accuracy = 0.8093, Decision = False
Round 3: Accuracy = 0.8038, Decision = False
Round 4: Accuracy = 0.7986, Decision = False
Round 5: Accuracy = 0.7986, Decision = False
Round 6: Accuracy = 0.7984, Decision = False
Round 7: Accuracy = 0.7928, Decision = False
Round 8: Accuracy = 0.7834, Decision = False
Round 9: Accuracy = 0.7744, Decision = False
Round 10: Accuracy = 0.7690, Decision = False
Round 11: Accuracy = 0.7633, Decision = False
Round 12: Accuracy = 0.7553, Decision = False
Round 13: Accuracy = 0.7541, Decision = False
Epoch 1/5, Loss: 0.8005
Epoch 2/5, Loss: 0.5902
Epoch 3/5, Loss: 0.4927
Epoch 4/5, Loss: 0.4582
Epoch 5/5, Loss: 0.4177
Round 14: Accuracy = 0.7457, Decision = True
Epoch 1/5, Loss: 0.4149
Epoch 2/5, Loss: 0.4317
Epoch 3/5, Loss: 0.4075
Epoch 4/5, Loss: 0.3764
Epoch 5/5, Loss: 0.3497
Round 15: Accuracy = 0.6519, Decision = True
Epoch 1/5, Loss: 0.3600
Epoch 2/5, Loss: 0.3760
Epoch 3/5, Loss: 0.3450
Epoch 4/5, Loss: 0.3931
Epoch 5/5, Loss: 0.3925
Round 16: Accuracy = 0.7164, Decision = True
Round 17: Accuracy = 0.5841, Decision = False
Round 18: Accuracy = 0.5828, Decision = False
Round 19: Accuracy = 0.5803, Decision = False
Round 20: Accuracy = 0.5788, Decision = False
Round 21: Accuracy = 0.5797, Decision = False
Round 22: Accuracy = 0.5747, Decision = False
Round 23: Accuracy = 0.5727, Decision = False
Round 24: Accuracy = 0.5759, Decision = False
Round 25: Accuracy = 0.5762, Decision = False
Round 26: Accuracy = 0.6777, Decision = False
Round 27: Accuracy = 0.6152, Decision = False
Round 28: Accuracy = 0.5407, Decision = False
Round 29: Accuracy = 0.5355, Decision = False
Round 30: Accuracy = 0.5663, Decision = False
Round 31: Accuracy = 0.5723, Decision = False
Round 32: Accuracy = 0.5777, Decision = False
Round 33: Accuracy = 0.5651, Decision = False
Epoch 1/5, Loss: 0.5407
Epoch 2/5, Loss: 0.5937
Epoch 3/5, Loss: 0.5880
Epoch 4/5, Loss: 0.5730
Epoch 5/5, Loss: 0.5130
Round 34: Accuracy = 0.5636, Decision = True
Round 35: Accuracy = 0.6855, Decision = False
Round 36: Accuracy = 0.6862, Decision = False
Round 37: Accuracy = 0.6863, Decision = False
Round 38: Accuracy = 0.6898, Decision = False
Round 39: Accuracy = 0.6823, Decision = False
Round 40: Accuracy = 0.6858, Decision = False
Round 41: Accuracy = 0.6892, Decision = False
Round 42: Accuracy = 0.6884, Decision = False
Epoch 1/5, Loss: 0.5517
Epoch 2/5, Loss: 0.5612
Epoch 3/5, Loss: 0.5318
Epoch 4/5, Loss: 0.5406
Epoch 5/5, Loss: 0.4740
Round 43: Accuracy = 0.6914, Decision = True
Round 44: Accuracy = 0.6999, Decision = False
Round 45: Accuracy = 0.6981, Decision = False
Round 46: Accuracy = 0.6965, Decision = False
Round 47: Accuracy = 0.6938, Decision = False
Round 48: Accuracy = 0.6951, Decision = False
Round 49: Accuracy = 0.6946, Decision = False
Round 50: Accuracy = 0.6911, Decision = False
Round 51: Accuracy = 0.6875, Decision = False
Round 52: Accuracy = 0.6848, Decision = False
Round 53: Accuracy = 0.6828, Decision = False
Round 54: Accuracy = 0.6791, Decision = False
Round 55: Accuracy = 0.6761, Decision = False
Round 56: Accuracy = 0.6763, Decision = False
Round 57: Accuracy = 0.6733, Decision = False
Round 58: Accuracy = 0.6706, Decision = False
Round 59: Accuracy = 0.7344, Decision = False
Round 60: Accuracy = 0.6844, Decision = False
Round 61: Accuracy = 0.6713, Decision = False
Round 62: Accuracy = 0.6630, Decision = False
Round 63: Accuracy = 0.6570, Decision = False
Round 64: Accuracy = 0.6536, Decision = False
Round 65: Accuracy = 0.6568, Decision = False
Round 66: Accuracy = 0.6566, Decision = False
Epoch 1/5, Loss: 0.6504
Epoch 2/5, Loss: 0.6386
Epoch 3/5, Loss: 0.6069
Epoch 4/5, Loss: 0.5932
Epoch 5/5, Loss: 0.5643
Round 67: Accuracy = 0.6521, Decision = True
Round 68: Accuracy = 0.7214, Decision = False
Epoch 1/5, Loss: 0.5813
Epoch 2/5, Loss: 0.7479
Epoch 3/5, Loss: 0.6591
Epoch 4/5, Loss: 0.9158
Epoch 5/5, Loss: 1.1012
Round 69: Accuracy = 0.7187, Decision = True
Round 70: Accuracy = 0.5034, Decision = False
Round 71: Accuracy = 0.5029, Decision = False
Round 72: Accuracy = 0.5025, Decision = False
Round 73: Accuracy = 0.5029, Decision = False
Round 74: Accuracy = 0.5022, Decision = False
Epoch 1/5, Loss: 0.9339
Epoch 2/5, Loss: 0.7773
Epoch 3/5, Loss: 0.6907
Epoch 4/5, Loss: 0.6374
Epoch 5/5, Loss: 0.5913
Round 75: Accuracy = 0.5001, Decision = True
Round 76: Accuracy = 0.7609, Decision = False
Round 77: Accuracy = 0.7626, Decision = False
Round 78: Accuracy = 0.7609, Decision = False
Round 79: Accuracy = 0.7612, Decision = False
Round 80: Accuracy = 0.7643, Decision = False
Round 81: Accuracy = 0.7639, Decision = False
Epoch 1/5, Loss: 0.5736
Epoch 2/5, Loss: 0.5860
Epoch 3/5, Loss: 0.5774
Epoch 4/5, Loss: 0.5582
Epoch 5/5, Loss: 0.5440
Round 82: Accuracy = 0.7653, Decision = True
Round 83: Accuracy = 0.7747, Decision = False
Round 84: Accuracy = 0.7292, Decision = False
Round 85: Accuracy = 0.7033, Decision = False
Round 86: Accuracy = 0.7055, Decision = False
Epoch 1/5, Loss: 0.5763
Epoch 2/5, Loss: 0.6515
Epoch 3/5, Loss: 0.6122
Epoch 4/5, Loss: 0.8744
Epoch 5/5, Loss: 0.6322
Round 87: Accuracy = 0.7144, Decision = True
Round 88: Accuracy = 0.7643, Decision = False
Round 89: Accuracy = 0.7617, Decision = False
Round 90: Accuracy = 0.7630, Decision = False
Round 91: Accuracy = 0.7634, Decision = False
Round 92: Accuracy = 0.7664, Decision = False
Round 93: Accuracy = 0.7631, Decision = False
Round 94: Accuracy = 0.7586, Decision = False
Round 95: Accuracy = 0.7547, Decision = False
Round 96: Accuracy = 0.7546, Decision = False
Epoch 1/5, Loss: 0.6192
Epoch 2/5, Loss: 0.5897
Epoch 3/5, Loss: 0.5207
Epoch 4/5, Loss: 0.5068
Epoch 5/5, Loss: 0.4800
Round 97: Accuracy = 0.7558, Decision = True
