/home/apiasecz/.conda/envs/cent7/2024.02-py311/cog_fl_llm_env/lib/python3.12/site-packages/torch/nn/modules/conv.py:456: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at /opt/conda/conda-bld/pytorch_1712608847532/work/aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  return F.conv2d(input, weight, bias, self.stride,
seed: 0
policy_id: 1
setting_id: 0
pi_bar: 0.1
drift_rate: 0.01
V: 2
Round 0: Accuracy = 0.8240, Decision = False
Round 1: Accuracy = 0.8116, Decision = False
Round 2: Accuracy = 0.8093, Decision = False
Round 3: Accuracy = 0.8038, Decision = False
Round 4: Accuracy = 0.7986, Decision = False
Round 5: Accuracy = 0.7986, Decision = False
Round 6: Accuracy = 0.7984, Decision = False
Round 7: Accuracy = 0.7928, Decision = False
Round 8: Accuracy = 0.7834, Decision = False
Round 9: Accuracy = 0.7744, Decision = False
Round 10: Accuracy = 0.7690, Decision = False
Round 11: Accuracy = 0.7633, Decision = False
Round 12: Accuracy = 0.7553, Decision = False
Round 13: Accuracy = 0.7541, Decision = False
Epoch 1/10, Loss: 0.8005
Epoch 2/10, Loss: 0.5902
Epoch 3/10, Loss: 0.4927
Epoch 4/10, Loss: 0.4582
Epoch 5/10, Loss: 0.4177
Epoch 6/10, Loss: 0.4414
Epoch 7/10, Loss: 0.4187
Epoch 8/10, Loss: 0.4419
Epoch 9/10, Loss: 0.3904
Epoch 10/10, Loss: 0.3875
Round 14: Accuracy = 0.7457, Decision = True
Epoch 1/10, Loss: 0.3875
Epoch 2/10, Loss: 0.3812
Epoch 3/10, Loss: 0.3886
Epoch 4/10, Loss: 0.4158
Epoch 5/10, Loss: 0.3593
Epoch 6/10, Loss: 0.3152
Epoch 7/10, Loss: 0.2989
Epoch 8/10, Loss: 0.3315
Epoch 9/10, Loss: 0.3346
Epoch 10/10, Loss: 0.3362
Round 15: Accuracy = 0.7101, Decision = True
Epoch 1/10, Loss: 0.3412
Epoch 2/10, Loss: 0.3264
Epoch 3/10, Loss: 0.3353
Epoch 4/10, Loss: 0.3333
Epoch 5/10, Loss: 0.3404
Epoch 6/10, Loss: 0.3154
Epoch 7/10, Loss: 0.2714
Epoch 8/10, Loss: 0.2736
Epoch 9/10, Loss: 0.2897
Epoch 10/10, Loss: 0.2628
Round 16: Accuracy = 0.6854, Decision = True
Round 17: Accuracy = 0.7047, Decision = False
Round 18: Accuracy = 0.7051, Decision = False
Round 19: Accuracy = 0.6993, Decision = False
Round 20: Accuracy = 0.6970, Decision = False
Round 21: Accuracy = 0.6971, Decision = False
Round 22: Accuracy = 0.6941, Decision = False
Round 23: Accuracy = 0.6939, Decision = False
Round 24: Accuracy = 0.6965, Decision = False
Round 25: Accuracy = 0.6911, Decision = False
Round 26: Accuracy = 0.7637, Decision = False
Round 27: Accuracy = 0.6992, Decision = False
Round 28: Accuracy = 0.6247, Decision = False
Round 29: Accuracy = 0.6215, Decision = False
Round 30: Accuracy = 0.6522, Decision = False
Round 31: Accuracy = 0.6582, Decision = False
Round 32: Accuracy = 0.6637, Decision = False
Round 33: Accuracy = 0.6680, Decision = False
Epoch 1/10, Loss: 0.4663
Epoch 2/10, Loss: 0.4726
Epoch 3/10, Loss: 0.4506
Epoch 4/10, Loss: 0.4193
Epoch 5/10, Loss: 0.3923
Epoch 6/10, Loss: 0.3754
Epoch 7/10, Loss: 0.3817
Epoch 8/10, Loss: 0.3311
Epoch 9/10, Loss: 0.3248
Epoch 10/10, Loss: 0.3243
Round 34: Accuracy = 0.6565, Decision = True
Round 35: Accuracy = 0.7383, Decision = False
Round 36: Accuracy = 0.7292, Decision = False
Round 37: Accuracy = 0.7293, Decision = False
Round 38: Accuracy = 0.7271, Decision = False
Round 39: Accuracy = 0.7305, Decision = False
Round 40: Accuracy = 0.7336, Decision = False
Round 41: Accuracy = 0.7333, Decision = False
Round 42: Accuracy = 0.7316, Decision = False
Epoch 1/10, Loss: 0.4242
Epoch 2/10, Loss: 0.4789
Epoch 3/10, Loss: 0.4755
Epoch 4/10, Loss: 0.4888
Epoch 5/10, Loss: 0.4699
Epoch 6/10, Loss: 0.4837
Epoch 7/10, Loss: 0.4083
Epoch 8/10, Loss: 0.4033
Epoch 9/10, Loss: 0.4147
Epoch 10/10, Loss: 0.4204
Round 43: Accuracy = 0.7324, Decision = True
Round 44: Accuracy = 0.7361, Decision = False
Round 45: Accuracy = 0.7394, Decision = False
Round 46: Accuracy = 0.7410, Decision = False
Round 47: Accuracy = 0.7438, Decision = False
Round 48: Accuracy = 0.7453, Decision = False
Round 49: Accuracy = 0.7392, Decision = False
Round 50: Accuracy = 0.7371, Decision = False
Round 51: Accuracy = 0.7370, Decision = False
Round 52: Accuracy = 0.7344, Decision = False
Round 53: Accuracy = 0.7344, Decision = False
Round 54: Accuracy = 0.7363, Decision = False
Round 55: Accuracy = 0.7366, Decision = False
Round 56: Accuracy = 0.7344, Decision = False
Round 57: Accuracy = 0.7368, Decision = False
Round 58: Accuracy = 0.7393, Decision = False
Round 59: Accuracy = 0.7906, Decision = False
Round 60: Accuracy = 0.7422, Decision = False
Round 61: Accuracy = 0.7476, Decision = False
Round 62: Accuracy = 0.7493, Decision = False
Round 63: Accuracy = 0.7471, Decision = False
Round 64: Accuracy = 0.7493, Decision = False
Round 65: Accuracy = 0.7437, Decision = False
Round 66: Accuracy = 0.7448, Decision = False
Epoch 1/10, Loss: 0.5541
Epoch 2/10, Loss: 0.5691
Epoch 3/10, Loss: 0.5050
Epoch 4/10, Loss: 0.4642
Epoch 5/10, Loss: 0.4695
Epoch 6/10, Loss: 0.4835
Epoch 7/10, Loss: 0.4549
Epoch 8/10, Loss: 0.4184
Epoch 9/10, Loss: 0.4245
Epoch 10/10, Loss: 0.4350
Round 67: Accuracy = 0.7379, Decision = True
Round 68: Accuracy = 0.7406, Decision = False
Epoch 1/10, Loss: 0.5384
Epoch 2/10, Loss: 1.1415
Epoch 3/10, Loss: 1.0004
Epoch 4/10, Loss: 0.9977
Epoch 5/10, Loss: 0.7541
Epoch 6/10, Loss: 0.9354
Epoch 7/10, Loss: 1.0198
Epoch 8/10, Loss: 0.8608
Epoch 9/10, Loss: 0.7863
Epoch 10/10, Loss: 0.7014
Round 69: Accuracy = 0.7427, Decision = True
Round 70: Accuracy = 0.7398, Decision = False
Round 71: Accuracy = 0.7397, Decision = False
Round 72: Accuracy = 0.7382, Decision = False
Round 73: Accuracy = 0.7425, Decision = False
Round 74: Accuracy = 0.7436, Decision = False
Epoch 1/10, Loss: 0.6790
Epoch 2/10, Loss: 0.6010
Epoch 3/10, Loss: 0.5820
Epoch 4/10, Loss: 0.5385
Epoch 5/10, Loss: 0.5107
Epoch 6/10, Loss: 0.4695
Epoch 7/10, Loss: 0.4531
Epoch 8/10, Loss: 0.4475
Epoch 9/10, Loss: 0.4428
Epoch 10/10, Loss: 0.4365
Round 75: Accuracy = 0.7422, Decision = True
Round 76: Accuracy = 0.7601, Decision = False
Round 77: Accuracy = 0.7616, Decision = False
