/home/apiasecz/.conda/envs/cent7/2024.02-py311/cog_fl_llm_env/lib/python3.12/site-packages/torch/nn/modules/conv.py:456: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at /opt/conda/conda-bld/pytorch_1712608847532/work/aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  return F.conv2d(input, weight, bias, self.stride,
seed: 4
policy_id: 1
setting_id: 0
pi_bar: 0.1
drift_rate: 0.01
V: 2
Round 0: Accuracy = 0.8188, Decision = False
Round 1: Accuracy = 0.8097, Decision = False
Round 2: Accuracy = 0.8081, Decision = False
Round 3: Accuracy = 0.8083, Decision = False
Round 4: Accuracy = 0.8037, Decision = False
Round 5: Accuracy = 0.7988, Decision = False
Round 6: Accuracy = 0.7940, Decision = False
Epoch 1/5, Loss: 0.8842
Epoch 2/5, Loss: 0.6145
Epoch 3/5, Loss: 0.5343
Epoch 4/5, Loss: 0.5163
Epoch 5/5, Loss: 0.5011
Round 7: Accuracy = 0.7873, Decision = True
Round 8: Accuracy = 0.7437, Decision = False
Round 9: Accuracy = 0.7427, Decision = False
Round 10: Accuracy = 0.7376, Decision = False
Round 11: Accuracy = 0.7343, Decision = False
Round 12: Accuracy = 0.7323, Decision = False
Round 13: Accuracy = 0.7292, Decision = False
Round 14: Accuracy = 0.7261, Decision = False
Round 15: Accuracy = 0.7205, Decision = False
Epoch 1/5, Loss: 0.5852
Epoch 2/5, Loss: 0.5584
Epoch 3/5, Loss: 0.5817
Epoch 4/5, Loss: 0.5399
Epoch 5/5, Loss: 0.5291
Round 16: Accuracy = 0.7201, Decision = True
Round 17: Accuracy = 0.7086, Decision = False
Epoch 1/5, Loss: 0.5355
Epoch 2/5, Loss: 0.5362
Epoch 3/5, Loss: 0.4847
Epoch 4/5, Loss: 0.4692
Epoch 5/5, Loss: 0.4626
Round 18: Accuracy = 0.7042, Decision = True
Round 19: Accuracy = 0.6417, Decision = False
Round 20: Accuracy = 0.6417, Decision = False
Round 21: Accuracy = 0.6370, Decision = False
Round 22: Accuracy = 0.6348, Decision = False
Round 23: Accuracy = 0.6299, Decision = False
Round 24: Accuracy = 0.6277, Decision = False
Epoch 1/5, Loss: 0.5618
Epoch 2/5, Loss: 0.5811
Epoch 3/5, Loss: 0.5728
Epoch 4/5, Loss: 0.5596
Epoch 5/5, Loss: 0.5311
Round 25: Accuracy = 0.6282, Decision = True
Round 26: Accuracy = 0.7344, Decision = False
Round 27: Accuracy = 0.5469, Decision = False
Round 28: Accuracy = 0.5935, Decision = False
Round 29: Accuracy = 0.5863, Decision = False
Round 30: Accuracy = 0.6170, Decision = False
Round 31: Accuracy = 0.6367, Decision = False
Round 32: Accuracy = 0.6391, Decision = False
Round 33: Accuracy = 0.6328, Decision = False
Round 34: Accuracy = 0.6373, Decision = False
Round 35: Accuracy = 0.6484, Decision = False
Round 36: Accuracy = 0.6432, Decision = False
Round 37: Accuracy = 0.6352, Decision = False
Round 38: Accuracy = 0.6335, Decision = False
Round 39: Accuracy = 0.6237, Decision = False
Round 40: Accuracy = 0.6226, Decision = False
Round 41: Accuracy = 0.6211, Decision = False
Round 42: Accuracy = 0.6212, Decision = False
Round 43: Accuracy = 0.6172, Decision = False
Round 44: Accuracy = 0.6171, Decision = False
Round 45: Accuracy = 0.6168, Decision = False
Round 46: Accuracy = 0.6169, Decision = False
Round 47: Accuracy = 0.6109, Decision = False
Round 48: Accuracy = 0.6157, Decision = False
Round 49: Accuracy = 0.6124, Decision = False
