/home/apiasecz/.conda/envs/cent7/2024.02-py311/cog_fl_llm_env/lib/python3.12/site-packages/torch/nn/modules/conv.py:456: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at /opt/conda/conda-bld/pytorch_1712608847532/work/aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  return F.conv2d(input, weight, bias, self.stride,
seed: 1
policy_id: 1
setting_id: 6
pi_bar: 0.1
drift_rate: 0.01
V: 5
Round 0: Accuracy = 0.7979, Decision = False
Round 1: Accuracy = 0.7863, Decision = False
Epoch 1/5, Loss: 0.7991
Epoch 2/5, Loss: 0.7193
Epoch 3/5, Loss: 0.6713
Epoch 4/5, Loss: 0.6260
Epoch 5/5, Loss: 0.5686
Round 2: Accuracy = 0.7788, Decision = True
Round 3: Accuracy = 0.6385, Decision = False
Round 4: Accuracy = 0.6309, Decision = False
Epoch 1/5, Loss: 0.5727
Epoch 2/5, Loss: 0.6160
Epoch 3/5, Loss: 0.5844
Epoch 4/5, Loss: 0.5820
Epoch 5/5, Loss: 0.5811
Round 5: Accuracy = 0.6213, Decision = True
Round 6: Accuracy = 0.7107, Decision = False
Round 7: Accuracy = 0.7127, Decision = False
Round 8: Accuracy = 0.7095, Decision = False
Round 9: Accuracy = 0.7090, Decision = False
Round 10: Accuracy = 0.7070, Decision = False
Round 11: Accuracy = 0.7015, Decision = False
Round 12: Accuracy = 0.6986, Decision = False
Round 13: Accuracy = 0.6958, Decision = False
Epoch 1/5, Loss: 0.7442
Epoch 2/5, Loss: 0.6866
Epoch 3/5, Loss: 0.6829
Epoch 4/5, Loss: 0.6500
Epoch 5/5, Loss: 0.6429
Round 14: Accuracy = 0.6955, Decision = True
Round 15: Accuracy = 0.6875, Decision = False
Round 16: Accuracy = 0.6839, Decision = False
Round 17: Accuracy = 0.6812, Decision = False
Round 18: Accuracy = 0.6811, Decision = False
Round 19: Accuracy = 0.6753, Decision = False
Round 20: Accuracy = 0.6749, Decision = False
Round 21: Accuracy = 0.6753, Decision = False
Round 22: Accuracy = 0.6701, Decision = False
Round 23: Accuracy = 0.6674, Decision = False
Round 24: Accuracy = 0.6648, Decision = False
Round 25: Accuracy = 0.6623, Decision = False
Epoch 1/5, Loss: 0.7054
Epoch 2/5, Loss: 0.7004
Epoch 3/5, Loss: 0.6599
Epoch 4/5, Loss: 0.6453
Epoch 5/5, Loss: 0.6513
Round 26: Accuracy = 0.4961, Decision = True
Epoch 1/5, Loss: 0.6389
Epoch 2/5, Loss: 0.6111
Epoch 3/5, Loss: 0.6221
Epoch 4/5, Loss: 0.6101
Epoch 5/5, Loss: 0.6273
Round 27: Accuracy = 0.6074, Decision = True
Round 28: Accuracy = 0.5823, Decision = False
Round 29: Accuracy = 0.5895, Decision = False
Epoch 1/5, Loss: 0.6063
Epoch 2/5, Loss: 0.5948
Epoch 3/5, Loss: 0.6068
Epoch 4/5, Loss: 0.6156
Epoch 5/5, Loss: 0.5776
Round 30: Accuracy = 0.5760, Decision = True
Round 31: Accuracy = 0.6855, Decision = False
Round 32: Accuracy = 0.6625, Decision = False
Round 33: Accuracy = 0.6354, Decision = False
Round 34: Accuracy = 0.6429, Decision = False
Round 35: Accuracy = 0.6426, Decision = False
Round 36: Accuracy = 0.6458, Decision = False
Round 37: Accuracy = 0.6418, Decision = False
Epoch 1/5, Loss: 0.6080
Epoch 2/5, Loss: 0.5857
Epoch 3/5, Loss: 0.5943
Epoch 4/5, Loss: 0.5439
Epoch 5/5, Loss: 0.5565
Round 38: Accuracy = 0.6458, Decision = True
Round 39: Accuracy = 0.6960, Decision = False
Round 40: Accuracy = 0.6956, Decision = False
Round 41: Accuracy = 0.6956, Decision = False
Round 42: Accuracy = 0.6928, Decision = False
Round 43: Accuracy = 0.6953, Decision = False
Round 44: Accuracy = 0.6899, Decision = False
Round 45: Accuracy = 0.6899, Decision = False
Round 46: Accuracy = 0.6881, Decision = False
Round 47: Accuracy = 0.6801, Decision = False
Round 48: Accuracy = 0.6776, Decision = False
Round 49: Accuracy = 0.6760, Decision = False
Epoch 1/5, Loss: 0.6597
Epoch 2/5, Loss: 0.6073
Epoch 3/5, Loss: 0.6582
Epoch 4/5, Loss: 0.6436
Epoch 5/5, Loss: 0.5986
Round 50: Accuracy = 0.6743, Decision = True
Round 51: Accuracy = 0.7077, Decision = False
Round 52: Accuracy = 0.7077, Decision = False
