/home/apiasecz/.conda/envs/cent7/2024.02-py311/cog_fl_llm_env/lib/python3.12/site-packages/torch/nn/modules/conv.py:456: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at /opt/conda/conda-bld/pytorch_1712608847532/work/aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  return F.conv2d(input, weight, bias, self.stride,
seed: 1
policy_id: 1
setting_id: 0
pi_bar: 0.1
drift_rate: 0.01
V: 2
Round 0: Accuracy = 0.7979, Decision = False
Round 1: Accuracy = 0.7863, Decision = False
Epoch 1/10, Loss: 0.7991
Epoch 2/10, Loss: 0.7193
Epoch 3/10, Loss: 0.6713
Epoch 4/10, Loss: 0.6260
Epoch 5/10, Loss: 0.5686
Epoch 6/10, Loss: 0.5578
Epoch 7/10, Loss: 0.5538
Epoch 8/10, Loss: 0.5069
Epoch 9/10, Loss: 0.5483
Epoch 10/10, Loss: 0.4935
Round 2: Accuracy = 0.7788, Decision = True
Round 3: Accuracy = 0.7474, Decision = False
Round 4: Accuracy = 0.7435, Decision = False
Epoch 1/10, Loss: 0.5156
Epoch 2/10, Loss: 0.5473
Epoch 3/10, Loss: 0.5011
Epoch 4/10, Loss: 0.5147
Epoch 5/10, Loss: 0.5254
Epoch 6/10, Loss: 0.5350
Epoch 7/10, Loss: 0.4995
Epoch 8/10, Loss: 0.5318
Epoch 9/10, Loss: 0.5178
Epoch 10/10, Loss: 0.5329
Round 5: Accuracy = 0.7322, Decision = True
Round 6: Accuracy = 0.7084, Decision = False
Round 7: Accuracy = 0.7008, Decision = False
Round 8: Accuracy = 0.6917, Decision = False
Round 9: Accuracy = 0.6910, Decision = False
Round 10: Accuracy = 0.6827, Decision = False
Round 11: Accuracy = 0.6765, Decision = False
Round 12: Accuracy = 0.6717, Decision = False
Round 13: Accuracy = 0.6709, Decision = False
Epoch 1/10, Loss: 0.6196
Epoch 2/10, Loss: 0.5991
Epoch 3/10, Loss: 0.6223
Epoch 4/10, Loss: 0.5680
Epoch 5/10, Loss: 0.5107
Epoch 6/10, Loss: 0.5092
Epoch 7/10, Loss: 0.4961
Epoch 8/10, Loss: 0.5021
Epoch 9/10, Loss: 0.4900
Epoch 10/10, Loss: 0.4777
Round 14: Accuracy = 0.6714, Decision = True
Round 15: Accuracy = 0.7335, Decision = False
Round 16: Accuracy = 0.7305, Decision = False
Round 17: Accuracy = 0.7249, Decision = False
Round 18: Accuracy = 0.7277, Decision = False
Round 19: Accuracy = 0.7272, Decision = False
Round 20: Accuracy = 0.7238, Decision = False
Round 21: Accuracy = 0.7212, Decision = False
Round 22: Accuracy = 0.7182, Decision = False
Round 23: Accuracy = 0.7153, Decision = False
Round 24: Accuracy = 0.7176, Decision = False
Round 25: Accuracy = 0.7147, Decision = False
Epoch 1/10, Loss: 0.5928
Epoch 2/10, Loss: 0.5709
Epoch 3/10, Loss: 0.5224
Epoch 4/10, Loss: 0.5147
Epoch 5/10, Loss: 0.5452
Epoch 6/10, Loss: 0.5460
Epoch 7/10, Loss: 0.5542
Epoch 8/10, Loss: 0.5023
Epoch 9/10, Loss: 0.4576
Epoch 10/10, Loss: 0.4705
Round 26: Accuracy = 0.5352, Decision = True
Epoch 1/10, Loss: 0.4319
Epoch 2/10, Loss: 0.4080
Epoch 3/10, Loss: 0.4389
Epoch 4/10, Loss: 0.4849
Epoch 5/10, Loss: 0.4592
Epoch 6/10, Loss: 0.4374
Epoch 7/10, Loss: 0.4421
Epoch 8/10, Loss: 0.4018
Epoch 9/10, Loss: 0.4061
Epoch 10/10, Loss: 0.4031
Round 27: Accuracy = 0.5527, Decision = True
Round 28: Accuracy = 0.7093, Decision = False
Round 29: Accuracy = 0.7395, Decision = False
Epoch 1/10, Loss: 0.3851
Epoch 2/10, Loss: 0.3923
Epoch 3/10, Loss: 0.4482
Epoch 4/10, Loss: 0.5370
Epoch 5/10, Loss: 0.4442
Epoch 6/10, Loss: 0.3995
Epoch 7/10, Loss: 0.3743
Epoch 8/10, Loss: 0.3797
Epoch 9/10, Loss: 0.3778
Epoch 10/10, Loss: 0.3661
Round 30: Accuracy = 0.7395, Decision = True
Round 31: Accuracy = 0.7363, Decision = False
Round 32: Accuracy = 0.7258, Decision = False
Round 33: Accuracy = 0.7194, Decision = False
Round 34: Accuracy = 0.7313, Decision = False
Round 35: Accuracy = 0.7266, Decision = False
Round 36: Accuracy = 0.7283, Decision = False
Round 37: Accuracy = 0.7234, Decision = False
Epoch 1/10, Loss: 0.4793
Epoch 2/10, Loss: 0.4755
Epoch 3/10, Loss: 0.4171
Epoch 4/10, Loss: 0.3878
Epoch 5/10, Loss: 0.3738
Epoch 6/10, Loss: 0.3541
Epoch 7/10, Loss: 0.3600
Epoch 8/10, Loss: 0.3619
Epoch 9/10, Loss: 0.4004
Epoch 10/10, Loss: 0.3778
Round 38: Accuracy = 0.7232, Decision = True
Round 39: Accuracy = 0.7272, Decision = False
Round 40: Accuracy = 0.7288, Decision = False
Round 41: Accuracy = 0.7288, Decision = False
Round 42: Accuracy = 0.7319, Decision = False
Round 43: Accuracy = 0.7344, Decision = False
Round 44: Accuracy = 0.7346, Decision = False
Round 45: Accuracy = 0.7344, Decision = False
Round 46: Accuracy = 0.7338, Decision = False
Round 47: Accuracy = 0.7324, Decision = False
Round 48: Accuracy = 0.7284, Decision = False
Round 49: Accuracy = 0.7296, Decision = False
Epoch 1/10, Loss: 0.4001
Epoch 2/10, Loss: 0.4187
Epoch 3/10, Loss: 0.4212
Epoch 4/10, Loss: 0.4453
Epoch 5/10, Loss: 0.4108
Epoch 6/10, Loss: 0.4286
Epoch 7/10, Loss: 0.4043
Epoch 8/10, Loss: 0.4071
Epoch 9/10, Loss: 0.4087
Epoch 10/10, Loss: 0.3363
Round 50: Accuracy = 0.7278, Decision = True
Round 51: Accuracy = 0.7754, Decision = False
Round 52: Accuracy = 0.7751, Decision = False
Round 53: Accuracy = 0.7728, Decision = False
Round 54: Accuracy = 0.7667, Decision = False
Epoch 1/10, Loss: 0.4049
Epoch 2/10, Loss: 0.4150
Epoch 3/10, Loss: 0.4065
Epoch 4/10, Loss: 0.4457
Epoch 5/10, Loss: 0.3906
Epoch 6/10, Loss: 0.3365
Epoch 7/10, Loss: 0.3218
Epoch 8/10, Loss: 0.3415
Epoch 9/10, Loss: 0.3221
Epoch 10/10, Loss: 0.3089
Round 55: Accuracy = 0.7684, Decision = True
Round 56: Accuracy = 0.7551, Decision = False
Round 57: Accuracy = 0.7560, Decision = False
Round 58: Accuracy = 0.7567, Decision = False
Round 59: Accuracy = 0.7380, Decision = False
Round 60: Accuracy = 0.7312, Decision = False
Round 61: Accuracy = 0.7325, Decision = False
Round 62: Accuracy = 0.7411, Decision = False
Round 63: Accuracy = 0.7382, Decision = False
Epoch 1/10, Loss: 0.3824
Epoch 2/10, Loss: 0.4915
Epoch 3/10, Loss: 1.2191
