time_step,art_painting,cartoon,photo,sketch
0,0.0,0.0,1.0,0.0
1,0.0,0.0,1.0,0.0
2,0.0,0.0,1.0,0.0
3,0.0,0.0,1.0,0.0
4,0.0,0.0,1.0,0.0
5,0.0,0.0,1.0,0.0
6,0.0,0.0,1.0,0.0
7,0.0,0.0,1.0,0.0
8,0.0,0.0,1.0,0.0
9,0.0,0.0,1.0,0.0
10,0.0,0.0,1.0,0.0
11,0.0,0.0,1.0,0.0
12,0.0,0.0,1.0,0.0
13,0.0,0.0,1.0,0.0
14,0.0,0.0,1.0,0.0
15,0.0,0.0,1.0,0.0
16,0.0,0.0,1.0,0.0
17,0.0,0.0,1.0,0.0
18,0.0,0.0,1.0,0.0
19,0.0,0.0,1.0,0.0
20,0.0,0.0,1.0,0.0
21,0.0,0.0,1.0,0.0
22,0.0,0.0,1.0,0.0
23,0.0,0.0,1.0,0.0
24,0.0,0.0,1.0,0.0
25,0.0,0.0,1.0,0.0
26,0.0,0.0,1.0,0.0
27,0.0,0.0,1.0,0.0
28,0.0,0.0,1.0,0.0
29,0.0,0.0,1.0,0.0
30,0.0,0.0,1.0,0.0
31,0.0,0.0,1.0,0.0
32,0.0,0.0,1.0,0.0
33,0.0,0.0,1.0,0.0
34,0.0,0.0,1.0,0.0
35,0.0,0.0,1.0,0.0
36,0.0,0.0,1.0,0.0
37,0.0,0.0,1.0,0.0
38,0.0,0.0,1.0,0.0
39,0.0,0.0,1.0,0.0
40,0.0,0.0,1.0,0.0
41,0.0,0.0,1.0,0.0
42,0.0,0.0,1.0,0.0
43,0.0,0.0,1.0,0.0
44,0.0,0.0,1.0,0.0
45,0.0,0.0,1.0,0.0
46,0.0,0.0,1.0,0.0
47,0.0,0.0,1.0,0.0
48,0.0,0.0,1.0,0.0
49,0.0,0.0,1.0,0.0
50,0.0,0.0,0.8334350213544844,0.16656497864551556
51,0.0,0.0,0.6948118006103764,0.3051881993896236
52,0.0,0.0,0.5790589232725731,0.42094107672742687
53,0.0,0.0,0.4826855123674912,0.5173144876325089
54,0.0,0.0,0.40223792697290933,0.5977620730270907
55,0.0,0.0,0.40223792697290933,0.5977620730270907
56,0.0,0.0,0.40223792697290933,0.5977620730270907
57,0.0,0.0,0.40223792697290933,0.5977620730270907
58,0.0,0.0,0.40223792697290933,0.5977620730270907
59,0.0,0.0,0.40223792697290933,0.5977620730270907
60,0.0,0.0,0.40223792697290933,0.5977620730270907
61,0.0,0.0,0.40223792697290933,0.5977620730270907
62,0.0,0.0,0.40223792697290933,0.5977620730270907
63,0.0,0.0,0.40223792697290933,0.5977620730270907
64,0.0,0.0,0.40223792697290933,0.5977620730270907
65,0.0,0.0,0.40223792697290933,0.5977620730270907
66,0.0,0.0,0.40223792697290933,0.5977620730270907
67,0.0,0.0,0.40223792697290933,0.5977620730270907
68,0.0,0.0,0.40223792697290933,0.5977620730270907
69,0.0,0.0,0.40223792697290933,0.5977620730270907
70,0.0,0.0,0.40223792697290933,0.5977620730270907
71,0.0,0.0,0.40223792697290933,0.5977620730270907
72,0.0,0.0,0.40223792697290933,0.5977620730270907
73,0.0,0.0,0.40223792697290933,0.5977620730270907
74,0.0,0.0,0.40223792697290933,0.5977620730270907
75,0.0,0.0,0.40223792697290933,0.5977620730270907
76,0.0,0.0,0.40223792697290933,0.5977620730270907
77,0.0,0.0,0.40223792697290933,0.5977620730270907
78,0.0,0.0,0.40223792697290933,0.5977620730270907
79,0.0,0.0,0.40223792697290933,0.5977620730270907
80,0.0,0.0,0.40223792697290933,0.5977620730270907
81,0.0,0.0,0.40223792697290933,0.5977620730270907
82,0.0,0.0,0.40223792697290933,0.5977620730270907
83,0.0,0.0,0.40223792697290933,0.5977620730270907
84,0.0,0.0,0.40223792697290933,0.5977620730270907
85,0.0,0.0,0.40223792697290933,0.5977620730270907
86,0.0,0.0,0.40223792697290933,0.5977620730270907
87,0.0,0.0,0.40223792697290933,0.5977620730270907
88,0.0,0.0,0.40223792697290933,0.5977620730270907
89,0.0,0.0,0.40223792697290933,0.5977620730270907
90,0.0,0.0,0.40223792697290933,0.5977620730270907
91,0.0,0.0,0.40223792697290933,0.5977620730270907
92,0.0,0.0,0.40223792697290933,0.5977620730270907
93,0.0,0.0,0.40223792697290933,0.5977620730270907
94,0.0,0.0,0.40223792697290933,0.5977620730270907
95,0.0,0.0,0.40223792697290933,0.5977620730270907
96,0.0,0.0,0.40223792697290933,0.5977620730270907
97,0.0,0.0,0.40223792697290933,0.5977620730270907
98,0.0,0.0,0.40223792697290933,0.5977620730270907
99,0.0,0.0,0.40223792697290933,0.5977620730270907
100,0.16662576687116565,0.0,0.33521472392638035,0.498159509202454
101,0.30552147239263805,0.0,0.27934560327198366,0.41513292433537835
102,0.3253873659117998,0.0,0.27135478744537145,0.40325784664282877
103,0.3253873659117998,0.0,0.27135478744537145,0.40325784664282877
104,0.3253873659117998,0.0,0.27135478744537145,0.40325784664282877
105,0.3253873659117998,0.0,0.27135478744537145,0.40325784664282877
106,0.3253873659117998,0.0,0.27135478744537145,0.40325784664282877
107,0.3253873659117998,0.0,0.27135478744537145,0.40325784664282877
108,0.3253873659117998,0.0,0.27135478744537145,0.40325784664282877
109,0.3253873659117998,0.0,0.27135478744537145,0.40325784664282877
110,0.3253873659117998,0.0,0.27135478744537145,0.40325784664282877
111,0.3253873659117998,0.0,0.27135478744537145,0.40325784664282877
112,0.3253873659117998,0.0,0.27135478744537145,0.40325784664282877
